day,tp,primeTank,bleachTank,trt,new.trt.C,new.trt.N,nubid,genet,cells,chl,chlpcell,prot,protpcell,dhd,dhw
2,1,1,0,C,N,C,C26,C,4128903,2.35,0.57,0.3,0.07,0.49,0.07
2,1,1,0,C,N,C,D20,D,3895559,2.03,0.52,0.38,0.1,0.49,0.07
2,1,1,0,C,N,C,E34,E,3241164,2.04,0.63,0.41,0.13,0.49,0.07
2,1,1,0,C,N,C,F01,F,2980924,1.69,0.57,0.67,0.22,0.49,0.07
2,1,1,0,C,C,C,G15,G,3939606,2.1,0.53,0.26,0.07,0.49,0.07
2,1,1,0,C,C,C,H09,H,3389809,1.97,0.58,0.34,0.1,0.49,0.07
2,1,1,0,C,C,C,I07,I,3618250,2.17,0.6,0.23,0.06,0.49,0.07
2,1,1,0,C,C,C,J23,J,2778406,1.73,0.62,0.53,0.19,0.49,0.07
2,1,2,0,C,N,C,C27,C,3813220,1.87,0.49,0.25,0.06,0.49,0.07
2,1,2,0,C,N,C,D05,D,3393577,2.03,0.6,0.21,0.06,0.49,0.07
2,1,2,0,C,N,C,E05,E,3336725,2.21,0.66,0.21,0.06,0.49,0.07
2,1,2,0,C,N,C,F14,F,2932385,2.04,0.7,0.25,0.08,0.49,0.07
2,1,2,0,C,C,C,G11,G,3655548,2.02,0.55,0.33,0.09,0.49,0.07
2,1,2,0,C,C,C,H07,H,3795091,2.41,0.64,0.24,0.06,0.49,0.07
2,1,2,0,C,C,C,I04,I,3183577,1.7,0.53,0.24,0.08,0.49,0.07
2,1,2,0,C,C,C,J19,J,3076886,2.24,0.73,0.29,0.09,0.49,0.07
2,1,3,0,LL,LL,LL,C03,C,4355967,2.29,0.52,0.16,0.04,2.31,0.33
2,1,3,0,LL,LL,LL,D36,D,3108974,2.15,0.69,0.26,0.08,2.31,0.33
2,1,3,0,LL,LL,LL,E06,E,3281303,2.07,0.63,0.24,0.07,2.31,0.33
2,1,3,0,LL,LL,LL,F17,F,3042174,2.15,0.71,0.28,0.09,2.31,0.33
2,1,3,0,LL,LL,LL,G26,G,3403454,2.07,0.61,0.19,0.06,2.31,0.33
2,1,3,0,LL,LL,LL,H01,H,3283574,2.17,0.66,0.21,0.06,2.31,0.33
2,1,3,0,LL,LL,LL,I30,I,3623485,1.7,0.47,0.38,0.11,2.31,0.33
2,1,3,0,LL,LL,LL,J15,J,2915871,1.68,0.57,0.22,0.08,2.31,0.33
2,1,4,0,LH,LH,LH,C15,C,3482264,2.13,0.61,0.22,0.06,5.11,0.73
2,1,4,0,LH,LH,LH,D25,D,2194006,1.57,0.72,0.33,0.15,5.11,0.73
2,1,4,0,LH,LH,LH,E24,E,3080969,1.94,0.63,0.47,0.15,5.11,0.73
2,1,4,0,LH,LH,LH,F08,F,3193457,2.11,0.66,0.2,0.06,5.11,0.73
2,1,4,0,LH,LH,LH,G08,G,3340878,2.32,0.69,0.27,0.08,5.11,0.73
2,1,4,0,LH,LH,LH,H15,H,3179857,2.25,0.71,0.22,0.07,5.11,0.73
2,1,4,0,LH,LH,LH,I05,I,2786155,1.83,0.66,0.2,0.07,5.11,0.73
2,1,4,0,LH,LH,LH,J26,J,2867838,1.36,0.48,0.29,0.1,5.11,0.73
2,1,5,0,HL,HL,HL,C22,C,3837625,1.88,0.49,0.22,0.06,4.45,0.64
2,1,5,0,HL,HL,HL,D1Y,D,2617921,1.22,0.47,0.31,0.12,4.45,0.64
2,1,5,0,HL,HL,HL,E4W,E,3243040,1.72,0.53,0.41,0.13,4.45,0.64
2,1,5,0,HL,HL,HL,F25,F,2185346,1.15,0.53,0.32,0.15,4.45,0.64
2,1,5,0,HL,HL,HL,G06,G,3407601,1.61,0.47,0.44,0.13,4.45,0.64
2,1,5,0,HL,HL,HL,H08,H,2754255,1.53,0.55,0.26,0.09,4.45,0.64
2,1,5,0,HL,HL,HL,I35,I,2449268,1.48,0.61,0.24,0.1,4.45,0.64
2,1,5,0,HL,HL,HL,J17,J,3188695,1.56,0.49,0.34,0.11,4.45,0.64
2,1,6,0,HH,HH,HH,C20,C,2789146,2.11,0.76,0.32,0.12,9.26,1.32
2,1,6,0,HH,HH,HH,D16,D,1593970,0.73,0.46,0.42,0.27,9.26,1.32
2,1,6,0,HH,HH,HH,E26,E,2943593,2.37,0.81,0.29,0.1,9.26,1.32
2,1,6,0,HH,HH,HH,F06,F,1439898,1.15,0.8,0.37,0.26,9.26,1.32
2,1,6,0,HH,HH,HH,G17,G,1630589,0.85,0.52,0.4,0.24,9.26,1.32
2,1,6,0,HH,HH,HH,H29,H,2183728,1.45,0.67,0.25,0.11,9.26,1.32
2,1,6,0,HH,HH,HH,I40,I,2701056,1.76,0.65,0.27,0.1,9.26,1.32
2,1,6,0,HH,HH,HH,J27,J,1772318,1.17,0.66,0.27,0.15,9.26,1.32
10,2,1,0,C,C,C,C19,C,4124843,5.08,1.23,0.29,0.07,0.49,0.07
10,2,1,0,C,C,C,D26,D,2957593,4.01,1.36,0.6,0.2,0.49,0.07
10,2,1,0,C,C,C,E17,E,2992032,4.75,1.59,0.3,0.1,0.49,0.07
10,2,1,0,C,C,C,F16,F,3341008,5.5,1.64,0.35,0.1,0.49,0.07
10,2,1,0,C,C,C,G18,G,3275103,4.6,1.41,0.33,0.1,0.49,0.07
10,2,1,0,C,C,C,H03,H,3753275,5.25,1.4,0.26,0.07,0.49,0.07
10,2,1,0,C,C,C,I16,I,2224612,3.56,1.6,0.28,0.13,0.49,0.07
10,2,1,0,C,C,C,J06,J,3335924,3.06,0.92,0.27,0.08,0.49,0.07
10,2,2,0,C,C,C,C21,C,3780459,5.73,1.52,0.34,0.09,0.49,0.07
10,2,2,0,C,C,C,D07,D,2790183,5.22,1.87,0.34,0.12,0.49,0.07
10,2,2,0,C,C,C,E20,E,2989244,4.73,1.58,0.25,0.08,0.49,0.07
10,2,2,0,C,C,C,F24,F,1892550,3.37,1.78,0.63,0.33,0.49,0.07
10,2,2,0,C,C,C,G31,G,3084819,4.74,1.54,0.37,0.12,0.49,0.07
10,2,2,0,C,C,C,H25,H,3399854,5.67,1.67,0.38,0.11,0.49,0.07
10,2,2,0,C,C,C,I28,I,3242060,4.78,1.47,0.33,0.1,0.49,0.07
10,2,2,0,C,C,C,J09,J,2908198,5.48,1.88,0.22,0.08,0.49,0.07
10,2,3,0,LL,LL,LL,C08,C,2917144,4.35,1.49,0.23,0.08,2.31,0.33
10,2,3,0,LL,LL,LL,D23,D,2725837,5,1.84,0.21,0.08,2.31,0.33
10,2,3,0,LL,LL,LL,E08,E,3112674,3.71,1.19,0.17,0.05,2.31,0.33
10,2,3,0,LL,LL,LL,F04,F,2876937,4.13,1.44,0.32,0.11,2.31,0.33
10,2,3,0,LL,LL,LL,G01,G,2746038,4.36,1.59,0.36,0.13,2.31,0.33
10,2,3,0,LL,LL,LL,H13,H,2814501,5.12,1.82,0.29,0.1,2.31,0.33
10,2,3,0,LL,LL,LL,I10,I,2477388,4.54,1.83,0.32,0.13,2.31,0.33
10,2,3,0,LL,LL,LL,J31,J,2829975,4.82,1.7,0.22,0.08,2.31,0.33
10,2,4,0,LH,LH,LH,C10,C,4555470,6.25,1.37,0.26,0.06,5.11,0.73
