day,tp,primeTank,bleachTank,trt,nubid,genet,cells,chl,chlpcell,prot,protpcell,fvfm,dhd.cum,dhw.cum,dhd.prime
12,3,1,6,N,D04,D,1077297,2.482,23.04,0.214,0.199,0.467,2.180934028,0.311562004,0.49449
12,3,1,6,N,E28,E,1078827,2.017,18.69,0.181,0.168,0.513,2.180934028,0.311562004,0.49449
12,3,2,6,N,F23,F,1657089,3.859,23.29,0.517,0.312,0.567,2.181611806,0.311658829,0.49449
12,3,2,6,N,J18,J,1735685,3.24,18.67,0.257,0.148,0.456,2.181611806,0.311658829,0.49449
12,3,1,3,N,C4W,C,3908828,4.401,11.26,0.195,0.05,0.566,2.233708854,0.319101265,0.49449
12,3,1,3,N,H17,H,1781862,3.586,20.12,0.283,0.159,0.47,2.233708854,0.319101265,0.49449
12,3,2,3,N,G09,G,2492298,4.2,16.85,0.19,0.076,0.553,2.234386632,0.31919809,0.49449
12,3,1,2,N,I25,I,2701722,4.74,17.54,0.479,0.177,0.389,2.359046181,0.337006597,0.49449
12,3,3,1,LL,D08,D,2520208,4.116,16.33,0.313,0.124,0.503,3.993052604,0.570436086,2.31298
12,3,3,1,LL,F11,F,2660432,3.639,13.68,0.396,0.149,0.573,3.993052604,0.570436086,2.31298
12,3,3,1,LL,G29,G,2586772,4.504,17.41,0.263,0.102,0.594,3.993052604,0.570436086,2.31298
12,3,3,3,LL,J25,J,2364118,3.956,16.73,0.189,0.08,0.507,4.052885417,0.578983631,2.31298
12,3,3,5,LL,C13,C,3277279,4.327,13.2,0.25,0.076,0.576,4.069819271,0.581402753,2.31298
12,3,3,5,LL,I18,I,1673616,3.625,21.66,0.427,0.255,0.435,4.069819271,0.581402753,2.31298
12,3,3,2,LL,E35,E,2334749,4.193,17.96,0.384,0.165,0.524,4.178222743,0.596888963,2.31298
12,3,3,2,LL,H10,H,671142,1.376,20.5,0.18,0.268,0.477,4.178222743,0.596888963,2.31298
12,3,5,1,HL,H33,H,2558188,4.646,18.16,0.288,0.113,0.483,6.12642309,0.875203299,4.44635
12,3,5,1,HL,I26,I,2936045,3.822,13.02,0.252,0.086,0.476,6.12642309,0.875203299,4.44635
12,3,5,6,HL,G02,G,1585255,3.168,19.99,0.179,0.113,0.508,6.133481076,0.876211582,4.44635
12,3,5,3,HL,D27,D,2781115,3.972,14.28,0.229,0.082,0.537,6.186255903,0.883750843,4.44635
12,3,5,3,HL,E33,E,2739603,4.769,17.41,0.235,0.086,0.506,6.186255903,0.883750843,4.44635
12,3,5,5,HL,J08,J,1942548,4.073,20.97,0.218,0.112,0.528,6.203189757,0.886169965,4.44635
12,3,5,2,HL,C33,C,3438524,5.094,14.82,0.328,0.096,0.519,6.311593229,0.901656176,4.44635
12,3,5,2,HL,F26,F,2162194,4.127,19.09,0.24,0.111,0.567,6.311593229,0.901656176,4.44635
12,3,4,1,LH,C09,C,3269379,4.344,13.29,0.214,0.066,0.543,6.793576562,0.970510937,5.11351
12,3,4,1,LH,E13O,E,2351430,3.346,14.23,0.446,0.19,0.493,6.793576562,0.970510937,5.11351
12,3,4,6,LH,I27,I,2345667,4.569,19.48,0.305,0.13,0.477,6.800634549,0.971519221,5.11351
12,3,4,3,LH,F19,F,3568921,5.943,16.65,0.426,0.119,0.567,6.853409375,0.979058482,5.11351
12,3,4,5,LH,H30,H,670058,1.316,19.64,0.283,0.422,0.465,6.870343229,0.981477604,5.11351
12,3,4,2,LH,D18,D,1436533,2.831,19.71,0.241,0.167,0.545,6.978746701,0.996963814,5.11351
12,3,4,2,LH,G14,G,2299789,4.272,18.58,0.374,0.162,0.58,6.978746701,0.996963814,5.11351
12,3,4,2,LH,J02,J,1975663,3.768,19.07,0.275,0.139,0.519,6.978746701,0.996963814,5.11351
12,3,6,1,HH,JX,J,0,0,0,0,0,0,10.93961684,1.562802406,9.25955
12,3,6,6,HH,C28,C,4181735,6.15,14.71,0.266,0.064,0.495,10.94667483,1.563810689,9.25955
12,3,6,6,HH,H34,H,776138,2.161,27.84,0.241,0.31,0.418,10.94667483,1.563810689,9.25955
12,3,6,3,HH,I20,I,2712202,4.04,14.9,0.327,0.121,0.464,10.99944965,1.57134995,9.25955
12,3,6,5,HH,D09,D,2438641,5.228,21.44,0.269,0.11,0.558,11.01638351,1.573769072,9.25955
12,3,6,5,HH,E3W,E,2288438,3.772,16.48,0.27,0.118,0.515,11.01638351,1.573769072,9.25955
12,3,6,5,HH,FX,F,0,0,0,0,0,0,11.01638351,1.573769072,9.25955
12,3,6,5,HH,GX,G,0,0,0,0,0,0,11.01638351,1.573769072,9.25955
